Permission,Owner,Manager,Cashier,Accountant,Stock Officer,Enforcement evidence
dashboard.view,YES,YES,YES,YES,YES,CommercialService._require + ShellScreen navigation
sales.process,YES,YES,YES,NO,NO,CommercialService._require + ShellScreen navigation
sales.discount,YES,YES,NO,NO,NO,CommercialService._require + ShellScreen navigation
sales.void,YES,YES,NO,NO,NO,CommercialService._require + ShellScreen navigation
sales.refund,YES,YES,NO,NO,NO,CommercialService._require + ShellScreen navigation
products.manage,YES,YES,NO,NO,YES,CommercialService._require + ShellScreen navigation
stock.adjust,YES,YES,NO,NO,YES,CommercialService._require + ShellScreen navigation
stock.count,YES,YES,NO,NO,YES,CommercialService._require + ShellScreen navigation
stock.transfer.approve,YES,YES,NO,NO,NO,CommercialService._require + ShellScreen navigation
stock.transfer.receive,YES,YES,NO,NO,YES,CommercialService._require + ShellScreen navigation
purchasing.manage,YES,YES,NO,NO,YES,CommercialService._require + ShellScreen navigation
debt.view,YES,YES,YES,YES,NO,CommercialService._require + ShellScreen navigation
debt.payment,YES,YES,NO,YES,NO,CommercialService._require + ShellScreen navigation
expenses.view,YES,YES,NO,YES,NO,CommercialService._require + ShellScreen navigation
expenses.manage,YES,YES,NO,YES,NO,CommercialService._require + ShellScreen navigation
reports.view,YES,YES,NO,YES,YES,CommercialService._require + ShellScreen navigation
reports.profit,YES,YES,NO,YES,NO,CommercialService._require + ShellScreen navigation
reports.export,YES,YES,NO,YES,YES,CommercialService._require + ShellScreen navigation
cash.manage,YES,YES,NO,YES,NO,CommercialService._require + ShellScreen navigation
cash.variance.approve,YES,YES,NO,NO,NO,CommercialService._require + ShellScreen navigation
documents.manage,YES,YES,YES,YES,NO,CommercialService._require + ShellScreen navigation
documents.print,YES,YES,YES,YES,NO,CommercialService._require + ShellScreen navigation
documents.send,YES,YES,YES,YES,NO,CommercialService._require + ShellScreen navigation
audit.view,YES,YES,NO,YES,NO,CommercialService._require + ShellScreen navigation
audit.export,YES,YES,NO,YES,NO,CommercialService._require + ShellScreen navigation
staff.manage,YES,YES,NO,NO,NO,CommercialService._require + ShellScreen navigation
branches.manage,YES,YES,NO,NO,NO,CommercialService._require + ShellScreen navigation
settings.manage,YES,YES,NO,NO,NO,CommercialService._require + ShellScreen navigation
backups.manage,YES,YES,NO,NO,NO,CommercialService._require + ShellScreen navigation
license.manage,YES,NO,NO,NO,NO,CommercialService._require + ShellScreen navigation
remote_dashboard.manage,YES,YES,NO,NO,NO,CommercialService._require + ShellScreen navigation
imports.manage,YES,YES,NO,NO,YES,CommercialService._require + ShellScreen navigation
updates.manage,YES,YES,NO,NO,NO,CommercialService._require + ShellScreen navigation
integrations.manage,YES,YES,NO,NO,NO,CommercialService._require + ShellScreen navigation
